age,sex,year,exp
31,Female,1960,42.62189224
32,Female,1960,41.70862675
33,Female,1960,40.79554975
34,Female,1960,39.88277655
35,Female,1960,38.97039688
36,Female,1960,38.05850306
37,Female,1960,37.14735081
38,Female,1960,36.23753779
39,Female,1960,35.32979952
40,Female,1960,34.42479146
41,Female,1960,33.5236267
42,Female,1960,32.62730522
43,Female,1960,31.73658079
44,Female,1960,30.85210703
45,Female,1960,29.97414991
46,Female,1960,29.10291073
47,Female,1960,28.23868665
48,Female,1960,27.38184599
49,Female,1960,26.53294393
50,Female,1960,25.69256403
51,Female,1960,24.8613208
52,Female,1960,24.039821
53,Female,1960,23.22866798
54,Female,1960,22.42845044
55,Female,1960,21.63950636
56,Female,1960,20.86215772
57,Female,1960,20.09680059
58,Female,1960,19.3437903
59,Female,1960,18.60361861
60,Female,1960,17.87688846
61,Female,1960,17.16418225
62,Female,1960,16.46597643
63,Female,1960,15.78278737
64,Female,1960,15.11507938
65,Female,1960,14.46317368
66,Female,1960,13.82746377
67,Female,1960,13.20839822
68,Female,1960,12.60650977
69,Female,1960,12.02251653
70,Female,1960,11.45729452
71,Female,1960,10.91176462
72,Female,1960,10.38644862
73,Female,1960,9.881121519
74,Female,1960,9.39480435
75,Female,1960,8.925830172
76,Female,1960,8.472101029
77,Female,1960,8.031882079
78,Female,1960,7.604484145
79,Female,1960,7.190203079
80,Female,1960,6.790232201
81,Female,1960,6.406386131
82,Female,1960,6.040317525
83,Female,1960,5.692726875
84,Female,1960,5.363462413
85,Female,1960,5.05156882
86,Female,1960,4.755383434
87,Female,1960,4.472969506
88,Female,1960,4.202429678
89,Female,1960,3.941856142
90,Female,1960,3.689171188
91,Female,1960,3.442215084
92,Female,1960,3.198913695
93,Female,1960,2.95734487
94,Female,1960,2.715672049
95,Female,1960,2.471812624
0,Male,1940,62.53942472
1,Male,1940,62.43754347
2,Male,1940,61.74628504
3,Male,1940,60.97744022
4,Male,1940,60.170372
5,Male,1940,59.34211888
6,Male,1940,58.50083112
7,Male,1940,57.64852838
8,Male,1940,56.78544058
9,Male,1940,55.91067227
10,Male,1940,55.02394111
11,Male,1940,54.12992316
12,Male,1940,53.2330907
13,Male,1940,52.33612113
14,Male,1940,51.44104204
15,Male,1940,50.54875491
16,Male,1940,49.6575969
17,Male,1940,48.76696957
18,Male,1940,47.87726974
19,Male,1940,46.98791659
20,Male,1940,46.099756
21,Male,1940,45.21266629
22,Male,1940,44.32697508
23,Male,1940,43.44254397
24,Male,1940,42.56009804
25,Male,1940,41.67946592
26,Male,1940,40.80047632
27,Male,1940,39.92376881
28,Male,1940,39.04953634
29,Male,1940,38.1783352
30,Male,1940,37.3099137
31,Male,1940,36.44476208
32,Male,1940,35.5825976
33,Male,1940,34.72419888
34,Male,1940,33.86958221
35,Male,1940,33.01941399
36,Male,1940,32.17396183
37,Male,1940,31.3334474
38,Male,1940,30.4977354
39,Male,1940,29.66757887
40,Male,1940,28.84334551
41,Male,1940,28.02533716
42,Male,1940,27.21406998
43,Male,1940,26.40970352
44,Male,1940,25.61259841
45,Male,1940,24.82328817
46,Male,1940,24.04220463
47,Male,1940,23.26968048
48,Male,1940,22.5059516
49,Male,1940,21.75160937
50,Male,1940,21.00711388
51,Male,1940,20.27279797
52,Male,1940,19.54907421
53,Male,1940,18.83641331
54,Male,1940,18.13532391
55,Male,1940,17.44596862
56,Male,1940,16.768897
57,Male,1940,16.1044734
58,Male,1940,15.45304749
59,Male,1940,14.81493951
60,Male,1940,14.19057758
61,Male,1940,13.58017605
62,Male,1940,12.98416153
63,Male,1940,12.40285932
64,Male,1940,11.83648683
65,Male,1940,11.28526991
66,Male,1940,10.74953836
67,Male,1940,10.22935512
68,Male,1940,9.724851416
69,Male,1940,9.236196453
70,Male,1940,8.763669812
71,Male,1940,8.307159633
72,Male,1940,7.866636625
73,Male,1940,7.442208473
74,Male,1940,7.033841007
75,Male,1940,6.641434231
76,Male,1940,6.264886138
77,Male,1940,5.90407707
78,Male,1940,5.55872198
79,Male,1940,5.228692577
80,Male,1940,4.913686305
81,Male,1940,4.61346383
82,Male,1940,4.327669214
83,Male,1940,4.055881277
84,Male,1940,3.797760735
85,Male,1940,3.552846582
86,Male,1940,3.320499558
87,Male,1940,3.100055597
88,Male,1940,2.890875605
89,Male,1940,2.691834573
90,Male,1940,2.501403006
91,Male,1940,2.317528234
92,Male,1940,2.137003415
93,Male,1940,1.954020441
94,Male,1940,1.758777793
95,Male,1940,1.533139716
0,Female,1940,62.53942472
1,Female,1940,62.43754347
2,Female,1940,61.74628504
3,Female,1940,60.97744022
4,Female,1940,60.170372
5,Female,1940,59.34211888
6,Female,1940,58.50083112
7,Female,1940,57.64852838
8,Female,1940,56.78544058
9,Female,1940,55.91067227
10,Female,1940,55.02394111
11,Female,1940,54.12992316
12,Female,1940,53.2330907
13,Female,1940,52.33612113
14,Female,1940,51.44104204
15,Female,1940,50.54875491
16,Female,1940,49.6575969
17,Female,1940,48.76696957
18,Female,1940,47.87726974
19,Female,1940,46.98791659
20,Female,1940,46.099756
21,Female,1940,45.21266629
22,Female,1940,44.32697508
23,Female,1940,43.44254397
24,Female,1940,42.56009804
25,Female,1940,41.67946592
26,Female,1940,40.80047632
27,Female,1940,39.92376881
28,Female,1940,39.04953634
29,Female,1940,38.1783352
30,Female,1940,37.3099137
31,Female,1940,36.44476208
32,Female,1940,35.5825976
33,Female,1940,34.72419888
34,Female,1940,33.86958221
35,Female,1940,33.01941399
36,Female,1940,32.17396183
37,Female,1940,31.3334474
38,Female,1940,30.4977354
39,Female,1940,29.66757887
40,Female,1940,28.84334551
41,Female,1940,28.02533716
42,Female,1940,27.21406998
43,Female,1940,26.40970352
44,Female,1940,25.61259841
45,Female,1940,24.82328817
46,Female,1940,24.04220463
47,Female,1940,23.26968048
48,Female,1940,22.5059516
49,Female,1940,21.75160937
50,Female,1940,21.00711388
51,Female,1940,20.27279797
52,Female,1940,19.54907421
53,Female,1940,18.83641331
54,Female,1940,18.13532391
55,Female,1940,17.44596862
56,Female,1940,16.768897
57,Female,1940,16.1044734
58,Female,1940,15.45304749
59,Female,1940,14.81493951
60,Female,1940,14.19057758
61,Female,1940,13.58017605
62,Female,1940,12.98416153
63,Female,1940,12.40285932
64,Female,1940,11.83648683
65,Female,1940,11.28526991
66,Female,1940,10.74953836
67,Female,1940,10.22935512
68,Female,1940,9.724851416
69,Female,1940,9.236196453
70,Female,1940,8.763669812
71,Female,1940,8.307159633
72,Female,1940,7.866636625
73,Female,1940,7.442208473
74,Female,1940,7.033841007
75,Female,1940,6.641434231
76,Female,1940,6.264886138
77,Female,1940,5.90407707
78,Female,1940,5.55872198
79,Female,1940,5.228692577
80,Female,1940,4.913686305
81,Female,1940,4.61346383
82,Female,1940,4.327669214
83,Female,1940,4.055881277
84,Female,1940,3.797760735
85,Female,1940,3.552846582
86,Female,1940,3.320499558
87,Female,1940,3.100055597
88,Female,1940,2.890875605
89,Female,1940,2.691834573
90,Female,1940,2.501403006
91,Female,1940,2.317528234
92,Female,1940,2.137003415
93,Female,1940,1.954020441
94,Female,1940,1.758777793
95,Female,1940,1.533139716
0,Male,1920,53.54548673
1,Male,1920,59.2668688
2,Male,1920,59.85976294
3,Male,1920,59.5728274
4,Male,1920,58.99464443
5,Male,1920,58.28327029
6,Male,1920,57.51183693
7,Male,1920,56.70519047
8,Male,1920,55.87714075
9,Male,1920,55.03987258
10,Male,1920,54.20178987
11,Male,1920,53.36716206
12,Male,1920,52.53528391
13,Male,1920,51.70547376
14,Male,1920,50.87604222
15,Male,1920,50.04739789
16,Male,1920,49.21942711
17,Male,1920,48.39201593
18,Male,1920,47.56649731
19,Male,1920,46.74176426
20,Male,1920,45.9186192
21,Male,1920,45.09736085
22,Male,1920,44.27736586
23,Male,1920,43.45847478
24,Male,1920,42.63879494
25,Male,1920,41.8186492
26,Male,1920,40.99750344
27,Male,1920,40.17443724
28,Male,1920,39.349376
29,Male,1920,38.52146065
30,Male,1920,37.6906452
31,Male,1920,36.85725858
32,Male,1920,36.02087208
33,Male,1920,35.18179699
34,Male,1920,34.34172049
35,Male,1920,33.50084444
36,Male,1920,32.65934611
37,Male,1920,31.81900198
38,Male,1920,30.98018051
39,Male,1920,30.14320234
40,Male,1920,29.30894005
41,Male,1920,28.47817258
42,Male,1920,27.65158635
43,Male,1920,26.83858225
44,Male,1920,26.02264944
45,Male,1920,25.21344319
46,Male,1920,24.41123842
47,Male,1920,23.61671281
48,Male,1920,22.83089039
49,Male,1920,22.05394894
50,Male,1920,21.2870706
51,Male,1920,20.530605
52,Male,1920,19.78497864
53,Male,1920,19.05126689
54,Male,1920,18.3295679
55,Male,1920,17.62095283
56,Male,1920,16.92537411
57,Male,1920,16.24384199
58,Male,1920,15.57646403
59,Male,1920,14.9236504
60,Male,1920,14.2857535
61,Male,1920,13.6636394
62,Male,1920,13.05720506
63,Male,1920,12.46669323
64,Male,1920,11.89262785
65,Male,1920,11.33502094
66,Male,1920,10.79424494
67,Male,1920,10.27006647
68,Male,1920,9.76299828
69,Male,1920,9.27274464
70,Male,1920,8.799466418
71,Male,1920,8.343048616
72,Male,1920,7.903566502
73,Male,1920,7.480819151
74,Male,1920,7.074591369
75,Male,1920,6.684717586
76,Male,1920,6.31091292
77,Male,1920,5.95305658
78,Male,1920,5.610894358
79,Male,1920,5.296702195
80,Male,1920,4.986271682
81,Male,1920,4.690882006
82,Male,1920,4.40977062
83,Male,1920,4.142716231
84,Male,1920,3.889079139
85,Male,1920,3.648961424
86,Male,1920,3.421838048
87,Male,1920,3.206975448
88,Male,1920,3.003223005
89,Male,1920,2.811491963
90,Male,1920,2.630830235
91,Male,1920,2.460925777
92,Male,1920,2.299163184
93,Male,1920,2.150037094
94,Male,1920,2.007197919
95,Male,1920,1.868467407
0,Female,1920,53.54548673
1,Female,1920,59.2668688
2,Female,1920,59.85976294
3,Female,1920,59.5728274
4,Female,1920,58.99464443
5,Female,1920,58.28327029
6,Female,1920,57.51183693
7,Female,1920,56.70519047
8,Female,1920,55.87714075
9,Female,1920,55.03987258
10,Female,1920,54.20178987
11,Female,1920,53.36716206
12,Female,1920,52.53528391
13,Female,1920,51.70547376
14,Female,1920,50.87604222
15,Female,1920,50.04739789
16,Female,1920,49.21942711
17,Female,1920,48.39201593
18,Female,1920,47.56649731
19,Female,1920,46.74176426
20,Female,1920,45.9186192
21,Female,1920,45.09736085
22,Female,1920,44.27736586
23,Female,1920,43.45847478
24,Female,1920,42.63879494
25,Female,1920,41.8186492
26,Female,1920,40.99750344
27,Female,1920,40.17443724
28,Female,1920,39.349376
29,Female,1920,38.52146065
30,Female,1920,37.6906452
31,Female,1920,36.85725858
32,Female,1920,36.02087208
33,Female,1920,35.18179699
34,Female,1920,34.34172049
35,Female,1920,33.50084444
36,Female,1920,32.65934611
37,Female,1920,31.81900198
38,Female,1920,30.98018051
39,Female,1920,30.14320234
40,Female,1920,29.30894005
41,Female,1920,28.47817258
42,Female,1920,27.65158635
43,Female,1920,26.83858225
44,Female,1920,26.02264944
45,Female,1920,25.21344319
46,Female,1920,24.41123842
47,Female,1920,23.61671281
48,Female,1920,22.83089039
49,Female,1920,22.05394894
50,Female,1920,21.2870706
51,Female,1920,20.530605
52,Female,1920,19.78497864
53,Female,1920,19.05126689
54,Female,1920,18.3295679
55,Female,1920,17.62095283
56,Female,1920,16.92537411
57,Female,1920,16.24384199
58,Female,1920,15.57646403
59,Female,1920,14.9236504
60,Female,1920,14.2857535
61,Female,1920,13.6636394
62,Female,1920,13.05720506
63,Female,1920,12.46669323
64,Female,1920,11.89262785
65,Female,1920,11.33502094
66,Female,1920,10.79424494
67,Female,1920,10.27006647
68,Female,1920,9.76299828
69,Female,1920,9.27274464
70,Female,1920,8.799466418
71,Female,1920,8.343048616
72,Female,1920,7.903566502
73,Female,1920,7.480819151
74,Female,1920,7.074591369
75,Female,1920,6.684717586
76,Female,1920,6.31091292
77,Female,1920,5.95305658
78,Female,1920,5.610894358
79,Female,1920,5.296702195
80,Female,1920,4.986271682
81,Female,1920,4.690882006
82,Female,1920,4.40977062
83,Female,1920,4.142716231
84,Female,1920,3.889079139
85,Female,1920,3.648961424
86,Female,1920,3.421838048
87,Female,1920,3.206975448
88,Female,1920,3.003223005
89,Female,1920,2.811491963
90,Female,1920,2.630830235
91,Female,1920,2.460925777
92,Female,1920,2.299163184
93,Female,1920,2.150037094
94,Female,1920,2.007197919
95,Female,1920,1.868467407
0,Male,1900,41.57747655
1,Male,1900,48.09514557
2,Male,1900,50.32182312
3,Male,1900,51.15559681
4,Male,1900,51.39644071
5,Male,1900,51.31354037
6,Male,1900,51.01413257
7,Male,1900,50.59508368
8,Male,1900,50.08831979
9,Male,1900,49.51999233
10,Male,1900,48.91033397
11,Male,1900,48.27566369
12,Male,1900,47.63765888
13,Male,1900,46.99577704
14,Male,1900,46.35043483
15,Male,1900,45.70156674
16,Male,1900,45.04910642
17,Male,1900,44.3929867
18,Male,1900,43.73313954
19,Male,1900,43.06993514
20,Male,1900,42.40329373
21,Male,1900,41.73270886
22,Male,1900,41.05936547
23,Male,1900,40.38274801
24,Male,1900,39.702762
25,Male,1900,39.01931168
26,Male,1900,38.33230002
27,Male,1900,37.64239772
28,Male,1900,36.94948348
29,Male,1900,36.25306379
30,Male,1900,35.55375208
31,Male,1900,34.85176748
32,Male,1900,34.14661013
33,Male,1900,33.4388234
34,Male,1900,32.72857659
35,Male,1900,32.01569013
36,Male,1900,31.30030284
37,Male,1900,30.58284591
38,Male,1900,29.8630973
39,Male,1900,29.14202879
40,Male,1900,28.41936551
41,Male,1900,27.69539846
42,Male,1900,26.72289358
43,Male,1900,25.99446181
44,Male,1900,25.26551503
45,Male,1900,24.53666208
46,Male,1900,23.80793868
47,Male,1900,23.0805296
48,Male,1900,22.35478704
49,Male,1900,21.63165404
50,Male,1900,20.91237021
51,Male,1900,20.1975829
